record_set,gm_id,base_eq_id,pga_g,path,eligibility_rule
FFext,059v2009,,0.0834021,data/gm_ffext/059v2009.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,059v2090,,0.0988527,data/gm_ffext/059v2090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,059v2180,,0.176016,data/gm_ffext/059v2180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,059v2279,,0.0653195,data/gm_ffext/059v2279.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,184057,,0.13207,data/gm_ffext/184057.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,184327,,0.208729,data/gm_ffext/184327.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,21081090,,0.181922,data/gm_ffext/21081090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,21081360,,0.149747,data/gm_ffext/21081360.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,A-ELC180,,0.130069,data/gm_ffext/A-ELC180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,A-ELC270,,0.056658,data/gm_ffext/A-ELC270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,A-TMZ000,,0.351329,data/gm_ffext/A-TMZ000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,A-TMZ270,,0.314809,data/gm_ffext/A-TMZ270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ABBAR--L,,0.514562,data/gm_ffext/ABBAR--L.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ABBAR--T,,0.496352,data/gm_ffext/ABBAR--T.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ARC000,,0.218836,data/gm_ffext/ARC000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ARC090,,0.1499,data/gm_ffext/ARC090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ARCDWN,,0.0857096,data/gm_ffext/ARCDWN.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,B-ICC000,,0.357855,data/gm_ffext/B-ICC000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,B-ICC090,,0.258332,data/gm_ffext/B-ICC090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,B-POE270,,0.446326,data/gm_ffext/B-POE270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,B-POE360,,0.300292,data/gm_ffext/B-POE360.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,B-WSM090,,0.171838,data/gm_ffext/B-WSM090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,B-WSM180,,0.210859,data/gm_ffext/B-WSM180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,BOL000,,0.727581,data/gm_ffext/BOL000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,BOL090,,0.822429,data/gm_ffext/BOL090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CAP000,,0.528519,data/gm_ffext/CAP000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CAP090,,0.443293,data/gm_ffext/CAP090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CH10270,,0.269127,data/gm_ffext/CH10270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CH12000,,0.286714,data/gm_ffext/CH12000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY006-N,,0.345195,data/gm_ffext/CHY006-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY006-V,,0.201987,data/gm_ffext/CHY006-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY006-W,,0.364421,data/gm_ffext/CHY006-W.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY059-E,,0.0492776,data/gm_ffext/CHY059-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY059-N,,0.0494289,data/gm_ffext/CHY059-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY059-V,,0.0151785,data/gm_ffext/CHY059-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY101-E,,0.352887,data/gm_ffext/CHY101-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY101-N,,0.440103,data/gm_ffext/CHY101-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY101-V,,0.164807,data/gm_ffext/CHY101-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY104-N,,0.186682,data/gm_ffext/CHY104-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY104-V,,0.124936,data/gm_ffext/CHY104-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY104-W,,0.161863,data/gm_ffext/CHY104-W.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CLW-LN,,0.282825,data/gm_ffext/CLW-LN.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CLW-TR,,0.41689,data/gm_ffext/CLW-TR.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,DZC180,,0.312128,data/gm_ffext/DZC180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,DZC270,,0.357876,data/gm_ffext/DZC270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,EUR000,,0.15404,data/gm_ffext/EUR000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,EUR090,,0.178212,data/gm_ffext/EUR090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,FOR000,,0.116109,data/gm_ffext/FOR000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,FOR090,,0.114031,data/gm_ffext/FOR090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,G03000,,0.555024,data/gm_ffext/G03000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,G03090,,0.367362,data/gm_ffext/G03090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-CXO225,,0.274843,data/gm_ffext/H-CXO225.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-CXO315,,0.201947,data/gm_ffext/H-CXO315.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-DLT262,,0.237759,data/gm_ffext/H-DLT262.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-DLT352,,0.351119,data/gm_ffext/H-DLT352.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-DLTDWN,,0.144955,data/gm_ffext/H-DLTDWN.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-E11140,,0.363978,data/gm_ffext/H-E11140.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-E11230,,0.379579,data/gm_ffext/H-E11230.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
