subset_id,record_set,theta,beta,mu,n_total,n_observed,n_censored,log_likelihood,censoring_rate,n_runs,n_nonconverged,n_first_crossing,fit_converged
0,FF22,0.2987029444849024,0.7482041246426153,-1.208305696142431,50,50,0,-56.44295407254557,0.0,600,0,50,True
0,FFext,0.2644299412051202,0.6869295276561173,-1.3301789353391518,50,48,2,-53.02283855423652,0.04,600,0,48,True
0,NF28,0.1390012291210003,0.4071367930732193,-1.9732725032934164,50,50,0,-26.016624699828085,0.0,600,0,50,True
1,FF22,0.1857213417201382,0.4912784053776201,-1.6835078914319035,50,50,0,-35.409712205455804,0.0,600,0,50,True
1,FFext,0.2031783564861157,0.567838090076865,-1.5936710823064903,50,50,0,-42.650979235220525,0.0,600,0,50,True
1,NF28,0.1261462709959518,0.3657531269666831,-2.0703131644116306,50,50,0,-20.65709235368771,0.0,600,0,50,True
2,FF22,0.2128547985808646,0.526543923306979,-1.5471450425370816,50,50,0,-38.87590024838655,0.0,600,0,50,True
2,FFext,0.2159344003097316,0.5523370411705039,-1.5327806196946068,50,50,0,-41.267085125374855,0.0,600,0,50,True
2,NF28,0.1460838770642348,0.417031310265909,-1.923574321796036,50,50,0,-27.21722843788611,0.0,600,0,50,True
3,FF22,0.1810808598026101,0.4377576061946797,-1.7088116082336364,50,50,0,-29.64243000624125,0.0,600,0,50,True
3,FFext,0.2097414322471086,0.8902864259606385,-1.5618797819203118,50,49,1,-65.23122513820428,0.02,600,0,49,True
3,NF28,0.1279072166765787,0.3949308832360976,-2.0564501476218267,50,50,0,-24.49470106741228,0.0,600,0,50,True
4,FF22,0.2702301276113687,0.6985274807114304,-1.308481358519466,50,50,0,-53.007889877114096,0.0,600,0,50,True
4,FFext,0.2515403857022089,0.6212054245596992,-1.3801517230009857,50,50,0,-47.14225392747776,0.0,600,0,50,True
4,NF28,0.121705834300881,0.3396912950961252,-2.106148340114068,50,50,0,-16.96102543573662,0.0,600,0,50,True
5,FF22,0.2702173054715647,0.4953409951566658,-1.308528808609971,50,50,0,-35.821483369920394,0.0,600,0,50,True
5,FFext,0.2097530428740114,0.5648853021178238,-1.5618244265933916,50,50,0,-42.39029853108709,0.0,600,0,50,True
5,NF28,0.1460838760645594,0.4170313148125092,-1.9235743286391964,50,50,0,-27.217228437886167,0.0,600,0,50,True
6,FF22,0.1853469072937272,0.5087486423495556,-1.685526035288148,50,50,0,-37.15686665762685,0.0,600,0,50,True
6,FFext,0.2050972554214492,0.5890377066805864,-1.5842709956537504,50,50,0,-44.48367311393307,0.0,600,0,50,True
6,NF28,0.1214194469293626,0.311222311578458,-2.1085042243111207,50,50,0,-12.584537061557487,0.0,600,0,50,True
7,FF22,0.201017778368172,0.5996119669243785,-1.6043619252416002,50,50,0,-45.37329918670629,0.0,600,0,50,True
7,FFext,0.2493961933893648,0.562251989240007,-1.388712508926601,50,50,0,-42.15666988518841,0.0,600,0,50,True
7,NF28,0.1437337156591402,0.3960887397785818,-1.939792888092808,50,50,0,-24.641076400104254,0.0,600,0,50,True
8,FF22,0.1766887783681694,0.5282442235910204,-1.733365408361467,50,50,0,-39.03709892938085,0.0,600,0,50,True
8,FFext,0.2688391278279268,0.7508813834957727,-1.3136421160906382,50,50,0,-56.62154758496811,0.0,600,0,50,True
8,NF28,0.1224080941450569,0.328900834813766,-2.1003947824542277,50,50,0,-15.346977340836222,0.0,600,0,50,True
9,FF22,0.1896620509224224,0.4789859115185732,-1.662511469905689,50,50,0,-34.14272256993191,0.0,600,0,50,True
9,FFext,0.2100880371982837,0.7622313697629016,-1.5602286113610817,50,50,0,-57.37167012594384,0.0,600,0,50,True
9,NF28,0.1322619786543868,0.3653049372536459,-2.022970636508898,50,50,0,-20.595784981189446,0.0,600,0,50,True
