gm_set,gm_id,path,dt,npts,pga_g
P695_FF22_AT2_original,FOR-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/FOR-UP.AT2,0.02,2200.0,0.0488653
P695_FF22_AT2_original,FOR000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/FOR000.AT2,0.02,2200.0,0.116109
P695_FF22_AT2_original,FOR090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/FOR090.AT2,0.02,2200.0,0.114031
P695_FF22_AT2_original,RIO-UP,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/RIO-UP.AT2,0.02,1800.0,0.195365
P695_FF22_AT2_original,RIO270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/RIO270.AT2,0.02,1800.0,0.38542
P695_FF22_AT2_original,RIO360,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/RIO360.AT2,0.02,1800.0,0.548927
P695_FF22_AT2_original,CHY059-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY059-E.AT2,0.005,18000.0,0.0492776
P695_FF22_AT2_original,CHY059-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY059-N.AT2,0.005,18000.0,0.0494289
P695_FF22_AT2_original,CHY059-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY059-V.AT2,0.005,18000.0,0.0151785
P695_FF22_AT2_original,CHY101-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY101-E.AT2,0.005,18000.0,0.352887
P695_FF22_AT2_original,CHY101-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY101-N.AT2,0.005,18000.0,0.440103
P695_FF22_AT2_original,CHY101-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY101-V.AT2,0.005,18000.0,0.164807
P695_FF22_AT2_original,CHY104-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY104-N.AT2,0.004,37500.0,0.186682
P695_FF22_AT2_original,CHY104-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY104-V.AT2,0.004,37500.0,0.124936
P695_FF22_AT2_original,CHY104-W,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY104-W.AT2,0.004,37500.0,0.161863
P695_FF22_AT2_original,HWA005-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA005-N.AT2,0.004,20000.0,0.138548
P695_FF22_AT2_original,HWA005-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA005-V.AT2,0.004,20000.0,0.0512845
P695_FF22_AT2_original,HWA005-W,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA005-W.AT2,0.004,20000.0,0.147236
P695_FF22_AT2_original,HWA015-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA015-E.AT2,0.005,18000.0,0.105455
P695_FF22_AT2_original,HWA015-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA015-N.AT2,0.005,18000.0,0.0734442
P695_FF22_AT2_original,HWA015-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA015-V.AT2,0.005,18000.0,0.0504858
P695_FF22_AT2_original,HWA055-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA055-N.AT2,0.004,36250.0,0.0877052
P695_FF22_AT2_original,HWA055-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA055-V.AT2,0.004,36250.0,0.0616306
P695_FF22_AT2_original,HWA055-W,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA055-W.AT2,0.004,36250.0,0.093861
P695_FF22_AT2_original,ILA027-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA027-E.AT2,0.005,17801.0,0.101309
P695_FF22_AT2_original,ILA027-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA027-N.AT2,0.005,17801.0,0.0624175
P695_FF22_AT2_original,ILA027-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA027-V.AT2,0.005,17801.0,0.0215876
P695_FF22_AT2_original,ILA036-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA036-E.AT2,0.005,11200.0,0.0553713
P695_FF22_AT2_original,ILA036-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA036-N.AT2,0.005,11200.0,0.0675822
P695_FF22_AT2_original,ILA036-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA036-V.AT2,0.005,11200.0,0.0256021
P695_FF22_AT2_original,TAP006-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP006-E.AT2,0.005,23000.0,0.104612
P695_FF22_AT2_original,TAP006-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP006-N.AT2,0.005,23000.0,0.0708195
P695_FF22_AT2_original,TAP006-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP006-V.AT2,0.005,23000.0,0.0322923
P695_FF22_AT2_original,TAP012-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP012-E.AT2,0.005,25400.0,0.0996042
P695_FF22_AT2_original,TAP012-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP012-N.AT2,0.005,25400.0,0.0553551
P695_FF22_AT2_original,TAP012-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP012-V.AT2,0.005,25400.0,0.0281474
P695_FF22_AT2_original,TAP100-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP100-E.AT2,0.005,28800.0,0.0573297
P695_FF22_AT2_original,TAP100-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP100-N.AT2,0.005,28800.0,0.0873791
P695_FF22_AT2_original,TAP100-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP100-V.AT2,0.005,28800.0,0.0240192
P695_FF22_AT2_original,TCU025-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU025-E.AT2,0.005,6001.0,0.0752309
P695_FF22_AT2_original,TCU025-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU025-N.AT2,0.005,6001.0,0.0585533
P695_FF22_AT2_original,TCU025-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU025-V.AT2,0.005,6001.0,0.0342983
P695_FF22_AT2_original,TCU036-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU036-E.AT2,0.005,18000.0,0.139148
P695_FF22_AT2_original,TCU036-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU036-N.AT2,0.005,18000.0,0.130863
P695_FF22_AT2_original,TCU036-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU036-V.AT2,0.005,18000.0,0.0638088
P695_FF22_AT2_original,TCU039-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU039-E.AT2,0.005,18000.0,0.206222
P695_FF22_AT2_original,TCU039-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU039-N.AT2,0.005,18000.0,0.144605
P695_FF22_AT2_original,TCU039-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU039-V.AT2,0.005,18000.0,0.13606
P695_FF22_AT2_original,TCU045-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU045-E.AT2,0.005,18000.0,0.474352
P695_FF22_AT2_original,TCU045-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU045-N.AT2,0.005,18000.0,0.512019
P695_FF22_AT2_original,TCU045-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU045-V.AT2,0.005,18000.0,0.361057
P695_FF22_AT2_original,TCU059-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU059-E.AT2,0.005,18000.0,0.165361
P695_FF22_AT2_original,TCU059-N,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU059-N.AT2,0.005,18000.0,0.172556
P695_FF22_AT2_original,TCU059-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU059-V.AT2,0.005,18000.0,0.0566435
