gm_set,gm_id,path,dt,npts,pga_g,record_set
P695_FF22_AT2_original,BOL090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/DUZCE/BOL090.AT2,0.01,5590.0,0.822429,FF22
P695_FF22_AT2_original,LOS270,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/LOS270.AT2,0.01,1999.0,0.482002,FF22
P695_FF22_AT2_original,H-E11140,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-E11140.AT2,0.005,7807.0,0.363978,FF22
P695_FF22_AT2_original,JOS090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/JOS090.AT2,0.02,2200.0,0.284031,FF22
P695_FF22_AT2_original,PEL090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SFERN/PEL090.AT2,0.01,2800.0,0.209876,FF22
P695_FF22_AT2_original,CHY104-W,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY104-W.AT2,0.004,37500.0,0.161863,FF22
P695_FF22_AT2_original,184057,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/184057.AT2,0.01,2950.0,0.13207,FF22
P695_FF22_AT2_original,HWA055-W,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA055-W.AT2,0.004,36250.0,0.093861,FF22
P695_FF22_AT2_original,TAP100-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TAP100-E.AT2,0.005,28800.0,0.0573297,FF22
P695_FF22_AT2_original,CHY059-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY059-V.AT2,0.005,18000.0,0.0151785,FF22
